Filename: C:\Users\Alastor\Desktop\aaa\bin\Debug\vin.jpg.ala
[0x0]: 0010110
[0x1]: 00100100
[0x2]: 111111100
[0x3]: 10000100
[0x4]: 00010000
[0x5]: 00100101
[0x6]: 00100000
[0x7]: 10000011
[0x8]: 00001111
[0x9]: 00000111
[0xa]: 01101101
[0xb]: 00011011
[0xc]: 01010011
[0xd]: 00001001
[0xe]: 01000110
[0xf]: 01011010
[0x10]: 111011111
[0x11]: 01011011
[0x12]: 01001111
[0x13]: 00011000
[0x14]: 10010111
[0x15]: 0000110
[0x16]: 00100110
[0x17]: 00011010
[0x18]: 10101000
[0x19]: 10010100
[0x1a]: 01110011
[0x1b]: 01110010
[0x1c]: 11101001
[0x1d]: 11001011
[0x1e]: 10011100
[0x1f]: 10010000
[0x20]: 00011110
[0x21]: 111110011
[0x22]: 00110010
[0x23]: 11001111
[0x24]: 10101101
[0x25]: 01000001
[0x26]: 00010111
[0x27]: 01101110
[0x28]: 00001011
[0x29]: 00011111
[0x2a]: 11010000
[0x2b]: 11111010
[0x2c]: 00101110
[0x2d]: 10001011
[0x2e]: 01101111
[0x2f]: 111110010
[0x30]: 00100010
[0x31]: 10110111
[0x32]: 00111100
[0x33]: 10001000
[0x34]: 10011000
[0x35]: 11110100
[0x36]: 01011100
[0x37]: 01100011
[0x38]: 11010110
[0x39]: 11011101
[0x3a]: 01101010
[0x3b]: 01111011
[0x3c]: 10100100
[0x3d]: 11011001
[0x3e]: 10111100
[0x3f]: 01100000
[0x40]: 00001110
[0x41]: 00110110
[0x42]: 00100001
[0x43]: 00101000
[0x44]: 111011110
[0x45]: 10011001
[0x46]: 11001100
[0x47]: 11010100
[0x48]: 10111101
[0x49]: 10111000
[0x4a]: 01111000
[0x4b]: 01111110
[0x4c]: 00010011
[0x4d]: 10001101
[0x4e]: 01100100
[0x4f]: 10111110
[0x50]: 00110111
[0x51]: 10000101
[0x52]: 10101110
[0x53]: 10110000
[0x54]: 10100000
[0x55]: 11011010
[0x56]: 11110110
[0x57]: 11101011
[0x58]: 01111001
[0x59]: 10110001
[0x5a]: 11111000
[0x5b]: 11010111
[0x5c]: 11101000
[0x5d]: 10001100
[0x5e]: 01111100
[0x5f]: 00110101
[0x60]: 00011100
[0x61]: 00111011
[0x62]: 00010101
[0x63]: 11010010
[0x64]: 10010001
[0x65]: 01001100
[0x66]: 01101011
[0x67]: 01111010
[0x68]: 01110110
[0x69]: 11100001
[0x6a]: 0000001
[0x6b]: 11110101
[0x6c]: 01011101
[0x6d]: 11101110
[0x6e]: 11010101
[0x6f]: 01000100
[0x70]: 01010100
[0x71]: 11011011
[0x72]: 10101010
[0x73]: 11100010
[0x74]: 01110111
[0x75]: 10000110
[0x76]: 10110101
[0x77]: 10000111
[0x78]: 10111001
[0x79]: 10111010
[0x7a]: 11011111
[0x7b]: 10000000
[0x7c]: 01100110
[0x7d]: 10010101
[0x7e]: 01000111
[0x7f]: 00101011
[0x80]: 111111111
[0x81]: 00010010
[0x82]: 00011101
[0x83]: 01010110
[0x84]: 00001000
[0x85]: 00011001
[0x86]: 01000010
[0x87]: 00101111
[0x88]: 00000110
